system_index,date,WRS_PATH,WRS_ROW,CLOUD_COVER,IMAGE_QUALITY
LC08_191024_20130422,2013-04-22,191.0,24.0,3.3,
LC08_191024_20130609,2013-06-09,191.0,24.0,59.65,
LC08_191024_20130727,2013-07-27,191.0,24.0,13.64,
LC08_191024_20130812,2013-08-12,191.0,24.0,8.16,
LC08_191024_20130828,2013-08-28,191.0,24.0,31.06,
LC08_191024_20130913,2013-09-13,191.0,24.0,83.58,
LC08_191024_20130929,2013-09-29,191.0,24.0,16.39,
LC08_191024_20131015,2013-10-15,191.0,24.0,75.78,
LC08_191024_20131031,2013-10-31,191.0,24.0,0.04,
LC08_191024_20131116,2013-11-16,191.0,24.0,93.4,
LC08_191024_20131202,2013-12-02,191.0,24.0,13.36,
LC08_191024_20140204,2014-02-04,191.0,24.0,9.14,
LC08_191024_20140220,2014-02-20,191.0,24.0,67.7,
LC08_191024_20140308,2014-03-08,191.0,24.0,54.74,
LC08_191024_20140425,2014-04-25,191.0,24.0,32.74,
LC08_191024_20140511,2014-05-11,191.0,24.0,51.08,
LC08_191024_20140527,2014-05-27,191.0,24.0,89.64,
LC08_191024_20140612,2014-06-12,191.0,24.0,26.29,
LC08_191024_20140628,2014-06-28,191.0,24.0,99.99,
LC08_191024_20140714,2014-07-14,191.0,24.0,61.16,
LC08_191024_20140730,2014-07-30,191.0,24.0,40.39,
LC08_191024_20140815,2014-08-15,191.0,24.0,55.57,
LC08_191024_20140916,2014-09-16,191.0,24.0,13.57,
LC08_191024_20141002,2014-10-02,191.0,24.0,81.51,
LC08_191024_20141018,2014-10-18,191.0,24.0,74.66,
LC08_191024_20141103,2014-11-03,191.0,24.0,80.66,
LC08_191024_20150106,2015-01-06,191.0,24.0,44.82,
LC08_191024_20150207,2015-02-07,191.0,24.0,56.58,
LC08_191024_20150223,2015-02-23,191.0,24.0,64.3,
LC08_191024_20150412,2015-04-12,191.0,24.0,38.14,
LC08_191024_20150514,2015-05-14,191.0,24.0,78.08,
LC08_191024_20150530,2015-05-30,191.0,24.0,70.7,
LC08_191024_20150615,2015-06-15,191.0,24.0,71.92,
LC08_191024_20150701,2015-07-01,191.0,24.0,4.77,
LC08_191024_20150717,2015-07-17,191.0,24.0,35.28,
LC08_191024_20150802,2015-08-02,191.0,24.0,45.2,
LC08_191024_20150818,2015-08-18,191.0,24.0,51.16,
LC08_191024_20150903,2015-09-03,191.0,24.0,37.09,
LC08_191024_20150919,2015-09-19,191.0,24.0,3.94,
LC08_191024_20151005,2015-10-05,191.0,24.0,3.72,
LC08_191024_20151106,2015-11-06,191.0,24.0,90.37,
LC08_191024_20151208,2015-12-08,191.0,24.0,81.53,
LC08_191024_20160210,2016-02-10,191.0,24.0,100.0,
LC08_191024_20160329,2016-03-29,191.0,24.0,75.91,
LC08_191024_20160430,2016-04-30,191.0,24.0,11.78,
LC08_191024_20160516,2016-05-16,191.0,24.0,79.1,
LC08_191024_20160601,2016-06-01,191.0,24.0,85.56,
LC08_191024_20160703,2016-07-03,191.0,24.0,35.39,
LC08_191024_20160719,2016-07-19,191.0,24.0,95.3,
LC08_191024_20160804,2016-08-04,191.0,24.0,48.65,
LC08_191024_20160820,2016-08-20,191.0,24.0,81.05,
LC08_191024_20160921,2016-09-21,191.0,24.0,62.87,
LC08_191024_20161007,2016-10-07,191.0,24.0,31.29,
LC08_191024_20161023,2016-10-23,191.0,24.0,58.75,
LC08_191024_20161108,2016-11-08,191.0,24.0,58.73,
LC08_191024_20161210,2016-12-10,191.0,24.0,97.63,
LC08_191024_20170111,2017-01-11,191.0,24.0,1.79,
LC08_191024_20170127,2017-01-27,191.0,24.0,2.65,
LC08_191024_20170212,2017-02-12,191.0,24.0,90.29,
LC08_191024_20170228,2017-02-28,191.0,24.0,91.11,
LC08_191024_20170316,2017-03-16,191.0,24.0,33.95,
LC08_191024_20170401,2017-04-01,191.0,24.0,0.35,
LC08_191024_20170417,2017-04-17,191.0,24.0,84.43,
LC08_191024_20170519,2017-05-19,191.0,24.0,0.01,
LC08_191024_20170620,2017-06-20,191.0,24.0,20.14,
LC08_191024_20170706,2017-07-06,191.0,24.0,52.84,
LC08_191024_20170722,2017-07-22,191.0,24.0,17.95,
LC08_191024_20170807,2017-08-07,191.0,24.0,27.52,
LC08_191024_20170823,2017-08-23,191.0,24.0,32.35,
LC08_191024_20170908,2017-09-08,191.0,24.0,99.93,
LC08_191024_20171026,2017-10-26,191.0,24.0,94.62,
LC08_191024_20171127,2017-11-27,191.0,24.0,22.29,
LC08_191025_20130329,2013-03-29,191.0,25.0,71.53,
LC08_191025_20130422,2013-04-22,191.0,25.0,7.3,
LC08_191025_20130609,2013-06-09,191.0,25.0,60.5,
LC08_191025_20130727,2013-07-27,191.0,25.0,1.65,
LC08_191025_20130812,2013-08-12,191.0,25.0,6.26,
LC08_191025_20130828,2013-08-28,191.0,25.0,83.78,
LC08_191025_20130913,2013-09-13,191.0,25.0,94.72,
LC08_191025_20130929,2013-09-29,191.0,25.0,6.22,
LC08_191025_20131015,2013-10-15,191.0,25.0,91.2,
LC08_191025_20131031,2013-10-31,191.0,25.0,0.45,
LC08_191025_20131116,2013-11-16,191.0,25.0,58.01,
LC08_191025_20131202,2013-12-02,191.0,25.0,7.65,
LC08_191025_20131218,2013-12-18,191.0,25.0,88.63,
LC08_191025_20140103,2014-01-03,191.0,25.0,23.89,
LC08_191025_20140119,2014-01-19,191.0,25.0,96.32,
LC08_191025_20140204,2014-02-04,191.0,25.0,44.75,
LC08_191025_20140220,2014-02-20,191.0,25.0,60.98,
LC08_191025_20140308,2014-03-08,191.0,25.0,17.22,
LC08_191025_20140409,2014-04-09,191.0,25.0,86.53,
LC08_191025_20140425,2014-04-25,191.0,25.0,56.72,
LC08_191025_20140511,2014-05-11,191.0,25.0,85.47,
LC08_191025_20140612,2014-06-12,191.0,25.0,43.47,
LC08_191025_20140628,2014-06-28,191.0,25.0,87.21,
LC08_191025_20140714,2014-07-14,191.0,25.0,50.96,
LC08_191025_20140730,2014-07-30,191.0,25.0,81.66,
LC08_191025_20140815,2014-08-15,191.0,25.0,76.24,
LC08_191025_20140831,2014-08-31,191.0,25.0,94.89,
LC08_191025_20140916,2014-09-16,191.0,25.0,11.62,
LC08_191025_20141002,2014-10-02,191.0,25.0,71.02,
LC08_191025_20141018,2014-10-18,191.0,25.0,62.42,
LC08_191025_20141103,2014-11-03,191.0,25.0,96.05,
LC08_191025_20141221,2014-12-21,191.0,25.0,74.64,
LC08_191025_20150106,2015-01-06,191.0,25.0,19.31,
LC08_191025_20150207,2015-02-07,191.0,25.0,3.98,
LC08_191025_20150223,2015-02-23,191.0,25.0,73.54,
LC08_191025_20150311,2015-03-11,191.0,25.0,87.96,
LC08_191025_20150412,2015-04-12,191.0,25.0,65.65,
LC08_191025_20150514,2015-05-14,191.0,25.0,69.01,
LC08_191025_20150530,2015-05-30,191.0,25.0,92.44,
LC08_191025_20150701,2015-07-01,191.0,25.0,17.78,
LC08_191025_20150717,2015-07-17,191.0,25.0,26.22,
LC08_191025_20150802,2015-08-02,191.0,25.0,84.08,
LC08_191025_20150903,2015-09-03,191.0,25.0,39.78,
LC08_191025_20150919,2015-09-19,191.0,25.0,9.86,
LC08_191025_20151005,2015-10-05,191.0,25.0,29.48,
LC08_191025_20151106,2015-11-06,191.0,25.0,81.23,
LC08_191025_20151122,2015-11-22,191.0,25.0,82.39,
LC08_191025_20151208,2015-12-08,191.0,25.0,58.47,
LC08_191025_20151224,2015-12-24,191.0,25.0,49.15,
LC08_191025_20160109,2016-01-09,191.0,25.0,91.35,
LC08_191025_20160226,2016-02-26,191.0,25.0,34.11,
LC08_191025_20160313,2016-03-13,191.0,25.0,87.87,
LC08_191025_20160329,2016-03-29,191.0,25.0,56.04,
LC08_191025_20160430,2016-04-30,191.0,25.0,0.89,
LC08_191025_20160516,2016-05-16,191.0,25.0,73.33,
LC08_191025_20160601,2016-06-01,191.0,25.0,70.52,
LC08_191025_20160703,2016-07-03,191.0,25.0,38.43,
LC08_191025_20160719,2016-07-19,191.0,25.0,72.69,
LC08_191025_20160804,2016-08-04,191.0,25.0,10.13,
LC08_191025_20160820,2016-08-20,191.0,25.0,53.05,
LC08_191025_20160905,2016-09-05,191.0,25.0,82.75,
LC08_191025_20160921,2016-09-21,191.0,25.0,83.36,
LC08_191025_20161007,2016-10-07,191.0,25.0,37.26,
LC08_191025_20161023,2016-10-23,191.0,25.0,75.48,
LC08_191025_20161108,2016-11-08,191.0,25.0,45.13,
LC08_191025_20161210,2016-12-10,191.0,25.0,87.5,
LC08_191025_20170111,2017-01-11,191.0,25.0,11.87,
LC08_191025_20170127,2017-01-27,191.0,25.0,2.98,
LC08_191025_20170228,2017-02-28,191.0,25.0,77.88,
LC08_191025_20170316,2017-03-16,191.0,25.0,9.38,
LC08_191025_20170401,2017-04-01,191.0,25.0,0.11,
LC08_191025_20170503,2017-05-03,191.0,25.0,69.51,
LC08_191025_20170519,2017-05-19,191.0,25.0,0.01,
LC08_191025_20170620,2017-06-20,191.0,25.0,0.48,
LC08_191025_20170706,2017-07-06,191.0,25.0,40.86,
LC08_191025_20170722,2017-07-22,191.0,25.0,34.5,
LC08_191025_20170807,2017-08-07,191.0,25.0,10.52,
LC08_191025_20170823,2017-08-23,191.0,25.0,34.38,
LC08_191025_20170908,2017-09-08,191.0,25.0,63.77,
