system_index,date,WRS_PATH,WRS_ROW,CLOUD_COVER,IMAGE_QUALITY
LE07_191024_20000121,2000-01-21,191.0,24.0,87.0,9.0
LE07_191024_20000222,2000-02-22,191.0,24.0,28.0,9.0
LE07_191024_20000410,2000-04-10,191.0,24.0,36.0,9.0
LE07_191024_20000426,2000-04-26,191.0,24.0,50.0,9.0
LE07_191024_20000512,2000-05-12,191.0,24.0,0.0,9.0
LE07_191024_20000528,2000-05-28,191.0,24.0,87.0,9.0
LE07_191024_20000613,2000-06-13,191.0,24.0,0.0,9.0
LE07_191024_20000816,2000-08-16,191.0,24.0,55.0,9.0
LE07_191024_20000901,2000-09-01,191.0,24.0,8.0,9.0
LE07_191024_20001003,2000-10-03,191.0,24.0,81.0,9.0
LE07_191024_20001120,2000-11-20,191.0,24.0,86.0,9.0
LE07_191024_20001206,2000-12-06,191.0,24.0,55.0,9.0
LE07_191024_20010123,2001-01-23,191.0,24.0,95.0,9.0
LE07_191024_20010224,2001-02-24,191.0,24.0,34.0,9.0
LE07_191024_20010312,2001-03-12,191.0,24.0,93.0,9.0
LE07_191024_20010328,2001-03-28,191.0,24.0,2.0,9.0
LE07_191024_20010429,2001-04-29,191.0,24.0,96.0,9.0
LE07_191024_20010515,2001-05-15,191.0,24.0,93.0,9.0
LE07_191024_20010531,2001-05-31,191.0,24.0,94.0,9.0
LE07_191024_20010616,2001-06-16,191.0,24.0,100.0,9.0
LE07_191024_20010718,2001-07-18,191.0,24.0,24.0,9.0
LE07_191024_20010803,2001-08-03,191.0,24.0,57.0,9.0
LE07_191024_20010819,2001-08-19,191.0,24.0,8.0,9.0
LE07_191024_20010904,2001-09-04,191.0,24.0,93.0,9.0
LE07_191024_20010920,2001-09-20,191.0,24.0,95.0,9.0
LE07_191024_20011006,2001-10-06,191.0,24.0,5.0,9.0
LE07_191024_20011107,2001-11-07,191.0,24.0,82.0,9.0
LE07_191024_20011123,2001-11-23,191.0,24.0,85.0,9.0
LE07_191024_20020110,2002-01-10,191.0,24.0,66.0,9.0
LE07_191024_20020126,2002-01-26,191.0,24.0,75.0,9.0
LE07_191024_20020331,2002-03-31,191.0,24.0,68.0,9.0
LE07_191024_20020502,2002-05-02,191.0,24.0,17.0,9.0
LE07_191024_20020518,2002-05-18,191.0,24.0,3.0,9.0
LE07_191024_20020603,2002-06-03,191.0,24.0,35.0,9.0
LE07_191024_20020619,2002-06-19,191.0,24.0,14.0,9.0
LE07_191024_20020705,2002-07-05,191.0,24.0,40.0,9.0
LE07_191024_20020721,2002-07-21,191.0,24.0,2.0,9.0
LE07_191024_20020806,2002-08-06,191.0,24.0,25.0,9.0
LE07_191024_20020822,2002-08-22,191.0,24.0,2.0,9.0
LE07_191024_20020907,2002-09-07,191.0,24.0,11.0,9.0
LE07_191024_20021025,2002-10-25,191.0,24.0,28.0,9.0
LE07_191024_20021126,2002-11-26,191.0,24.0,100.0,9.0
LE07_191024_20030129,2003-01-29,191.0,24.0,90.0,9.0
LE07_191024_20030214,2003-02-14,191.0,24.0,37.0,9.0
LE07_191024_20030302,2003-03-02,191.0,24.0,64.0,9.0
LE07_191024_20030318,2003-03-18,191.0,24.0,47.0,9.0
LE07_191024_20030419,2003-04-19,191.0,24.0,94.0,9.0
LE07_191024_20030505,2003-05-05,191.0,24.0,0.0,9.0
LE07_191024_20030521,2003-05-21,191.0,24.0,61.0,9.0
LE07_191024_20030926,2003-09-26,191.0,24.0,1.0,9.0
LE07_191024_20031028,2003-10-28,191.0,24.0,0.0,9.0
LE07_191024_20031113,2003-11-13,191.0,24.0,26.0,9.0
LE07_191024_20040608,2004-06-08,191.0,24.0,77.0,9.0
LE07_191024_20040624,2004-06-24,191.0,24.0,35.0,9.0
LE07_191024_20040811,2004-08-11,191.0,24.0,34.0,9.0
LE07_191024_20041201,2004-12-01,191.0,24.0,67.0,9.0
LE07_191024_20050424,2005-04-24,191.0,24.0,1.0,9.0
LE07_191024_20050510,2005-05-10,191.0,24.0,72.0,9.0
LE07_191024_20050526,2005-05-26,191.0,24.0,41.0,9.0
LE07_191024_20050627,2005-06-27,191.0,24.0,25.0,9.0
LE07_191024_20050713,2005-07-13,191.0,24.0,20.0,9.0
LE07_191024_20050729,2005-07-29,191.0,24.0,38.0,9.0
LE07_191024_20050830,2005-08-30,191.0,24.0,0.0,9.0
LE07_191024_20051001,2005-10-01,191.0,24.0,4.0,9.0
LE07_191024_20060411,2006-04-11,191.0,24.0,78.0,9.0
LE07_191024_20060614,2006-06-14,191.0,24.0,0.0,9.0
LE07_191024_20060716,2006-07-16,191.0,24.0,41.0,9.0
LE07_191024_20070313,2007-03-13,191.0,24.0,29.0,9.0
LE07_191024_20070329,2007-03-29,191.0,24.0,5.0,9.0
LE07_191024_20070414,2007-04-14,191.0,24.0,0.0,9.0
LE07_191024_20070430,2007-04-30,191.0,24.0,17.0,9.0
LE07_191024_20070719,2007-07-19,191.0,24.0,6.0,9.0
LE07_191024_20070804,2007-08-04,191.0,24.0,47.0,9.0
LE07_191024_20080502,2008-05-02,191.0,24.0,31.0,9.0
LE07_191024_20080603,2008-06-03,191.0,24.0,2.0,9.0
LE07_191024_20080705,2008-07-05,191.0,24.0,63.0,9.0
LE07_191024_20080806,2008-08-06,191.0,24.0,36.0,9.0
LE07_191024_20081009,2008-10-09,191.0,24.0,54.0,9.0
LE07_191024_20081025,2008-10-25,191.0,24.0,9.0,9.0
LE07_191024_20090403,2009-04-03,191.0,24.0,0.0,9.0
LE07_191024_20090419,2009-04-19,191.0,24.0,0.0,9.0
LE07_191024_20090724,2009-07-24,191.0,24.0,67.0,9.0
LE07_191024_20090825,2009-08-25,191.0,24.0,0.0,9.0
LE07_191024_20090926,2009-09-26,191.0,24.0,6.0,9.0
LE07_191024_20100406,2010-04-06,191.0,24.0,31.0,9.0
LE07_191024_20100711,2010-07-11,191.0,24.0,0.0,9.0
LE07_191024_20100727,2010-07-27,191.0,24.0,30.0,9.0
LE07_191024_20100812,2010-08-12,191.0,24.0,43.0,9.0
LE07_191024_20110409,2011-04-09,191.0,24.0,44.0,9.0
LE07_191024_20110612,2011-06-12,191.0,24.0,86.0,9.0
LE07_191024_20110628,2011-06-28,191.0,24.0,0.0,9.0
LE07_191024_20110831,2011-08-31,191.0,24.0,42.0,9.0
LE07_191024_20110916,2011-09-16,191.0,24.0,64.0,9.0
LE07_191024_20111002,2011-10-02,191.0,24.0,1.0,9.0
LE07_191024_20111018,2011-10-18,191.0,24.0,29.0,9.0
LE07_191024_20111103,2011-11-03,191.0,24.0,25.0,9.0
LE07_191024_20120326,2012-03-26,191.0,24.0,7.0,9.0
LE07_191024_20120411,2012-04-11,191.0,24.0,72.0,9.0
LE07_191024_20120427,2012-04-27,191.0,24.0,3.0,9.0
LE07_191024_20120529,2012-05-29,191.0,24.0,50.0,9.0
LE07_191024_20120630,2012-06-30,191.0,24.0,76.0,9.0
LE07_191024_20120716,2012-07-16,191.0,24.0,95.0,9.0
LE07_191024_20120801,2012-08-01,191.0,24.0,29.0,9.0
LE07_191024_20120817,2012-08-17,191.0,24.0,88.0,9.0
LE07_191024_20120902,2012-09-02,191.0,24.0,52.0,9.0
LE07_191024_20120918,2012-09-18,191.0,24.0,2.0,9.0
LE07_191024_20121004,2012-10-04,191.0,24.0,94.0,9.0
LE07_191024_20121020,2012-10-20,191.0,24.0,0.0,9.0
LE07_191024_20121121,2012-11-21,191.0,24.0,84.0,9.0
LE07_191024_20130209,2013-02-09,191.0,24.0,73.0,9.0
LE07_191024_20130329,2013-03-29,191.0,24.0,91.0,9.0
LE07_191024_20130414,2013-04-14,191.0,24.0,24.0,9.0
LE07_191024_20130430,2013-04-30,191.0,24.0,100.0,9.0
LE07_191024_20130516,2013-05-16,191.0,24.0,4.0,9.0
LE07_191024_20130617,2013-06-17,191.0,24.0,4.0,9.0
LE07_191024_20130703,2013-07-03,191.0,24.0,62.0,9.0
LE07_191024_20130719,2013-07-19,191.0,24.0,21.0,9.0
LE07_191024_20130804,2013-08-04,191.0,24.0,83.0,9.0
LE07_191024_20130905,2013-09-05,191.0,24.0,33.0,9.0
LE07_191024_20130921,2013-09-21,191.0,24.0,74.0,9.0
LE07_191024_20131023,2013-10-23,191.0,24.0,43.0,9.0
